state,year,epi_week,rainfall_mm,rainfall_lag8_mm,rainfall_lta_mm,rainfall_anomaly_pct
Abia,1990,22,100.72258,53.869354875,109.787094,92.103195
Abia,1990,24,143.19354,64.5991935,104.51398,135.31929
Abia,1990,25,70.4,80.357257,104.40537,68.91801
Abia,1990,26,233.89677,83.762902,132.72343,173.46123
Abia,1990,28,204.09677,108.054837,127.95269,157.27155
Abia,1990,29,186.50322,125.43548200000001,133.24474,138.52478
Abia,1990,31,147.2258,135.95322325,101.247955,143.2741
Abia,1990,32,85.84516,145.69435125,103.59075,83.65829
Abia,1990,34,150.50967,146.48548000000002,123.17506,121.326004
Abia,1990,35,98.619354,152.70886625,105.83957,93.485886
Abia,1990,37,123.574196,147.137093,110.082794,111.723206
Abia,1990,38,109.77419,153.78386749999999,118.14301,93.20399
Abia,1990,40,92.41936,138.268545,87.55097,105.260216
Abia,1990,41,49.393547,124.30886875,93.42021,55.266644
Abia,1990,42,129.72258,107.17015962500001,106.78473,120.51966
Abia,1990,44,36.812904,104.98225712499999,40.66301,91.56844
Abia,1990,45,48.232258,98.853225125,30.770538,148.81593
Abia,1990,47,15.606452,86.068548625,22.34387,75.36041
Abia,1990,48,17.348387,75.691935875,11.765376,133.30083
Abia,1990,50,21.948387,62.413709749999995,3.7548387,307.81134
Abia,1990,51,23.387096,51.435484375,4.423871,301.22543
Abia,1991,1,3.387097,42.806451375,5.7890325,77.73725
Abia,1991,2,3.548387,37.055645125,5.5174193,81.27837
Abia,1991,4,4.5870967,21.283871,10.415699,62.19048
Abia,1991,5,12.458064,17.2556450875,12.084731,102.18519
Abia,1991,7,21.812902,12.7838708375,15.216129,132.63124
Abia,1991,8,20.2,13.559677087499999,17.004732,114.52082
Abia,1991,9,26.451612,13.916128712499999,30.776129,87.91228
Abia,1991,11,72.91613,14.4790318375,36.829464,186.27094
Abia,1991,12,78.619354,20.6701610875,44.33871,169.48021
Abia,1991,14,65.41936,30.0741932125,53.735912,119.89149
Abia,1991,15,59.503227,37.8080648375,61.00839,97.719734
Abia,1991,16,66.19355,44.672581124999994,56.888386,115.03539
Abia,1991,18,112.96774,51.389516875,82.929245,134.16212
Abia,1991,19,92.283875,62.783871624999996,82.15914,111.61637
Abia,1991,21,136.26451,71.794356,94.044945,142.62668
Abia,1991,22,97.10968,85.52096825000001,109.787094,88.95571
Abia,1991,24,79.33549,88.54516199999999,104.51398,77.00888
Abia,1991,25,115.980644,88.634679,104.40537,110.58017
Abia,1991,27,126.0129,94.95483949999999,132.72343,95.12753
Abia,1991,28,136.72258,103.268548625,127.95269,106.596245
Abia,1991,29,144.67097,112.08467737500001,133.24474,108.26522
Abia,1991,31,79.05161,116.047581125,101.247955,79.108925
Abia,1991,32,219.50322,114.39354800000001,103.59075,206.74248
Abia,1991,34,77.896774,124.79838675,123.17506,64.67466
Abia,1991,35,60.251614,122.3967735,105.83957,58.870327
Abia,1991,37,115.296776,120.01128899999999,110.082794,104.53063
Abia,1991,38,110.741936,119.9258055,118.14301,93.98985
Abia,1991,40,111.79355,118.016935,87.55097,126.19376
Abia,1991,41,56.63871,114.90080625,93.42021,62.6281
Abia,1991,43,96.632256,103.89677375,106.78473,90.91784
Abia,1991,44,45.103226,106.0943545,40.66301,109.72388
Abia,1991,46,18.251614,84.29435525,30.770538,65.00214
Abia,1991,47,16.606451,76.83871024999999,22.34387,79.01753
Abia,1991,48,9.903226,71.383064875,11.765376,88.892876
Abia,1991,50,1.567742,58.208871125,3.7548387,75.01842
Abia,1991,51,3.748387,44.562096874999995,4.423871,92.83221
Abia,1992,1,4.580645,31.0564515,5.7890325,88.79985
Abia,1992,2,3.5225806,24.549193374999998,5.5174193,81.033005
Abia,1992,4,8.129032,12.91048395,10.415699,85.16663
Abia,1992,5,5.7225804,8.2887097,12.084731,62.76118
Abia,1992,7,2.4645162,6.722580499999999,15.216129,36.923565
Abia,1992,8,2.3290322,4.95483865,17.004732,33.306618
Abia,1992,9,9.8,4.008064425,30.776129,41.368366
Abia,1992,11,82.43226,5.037096675000001,36.829464,209.02075
Abia,1992,12,64.75484,14.872580800000001,44.33871,141.37952
Abia,1992,14,29.864515,22.394355175,53.735912,59.35809
Abia,1992,15,75.33549,25.687096975,61.00839,121.704956
Abia,1992,17,48.025806,34.087904225,56.888386,85.67974
Abia,1992,18,60.393547,39.375807425,82.929245,74.37064
Abia,1992,20,68.11613,46.616936275,82.15914,83.88808
Abia,1992,21,60.174194,54.8403235,94.044945,65.80264
Abia,1992,23,125.741936,61.137097749999995,109.787094,113.89952
Abia,1992,24,140.64516,66.55080725,104.51398,132.99231
Abia,1992,25,38.08387,76.03709725,104.40537,39.38003
Abia,1992,27,87.58064,77.06451662500001,132.72343,67.222145
Abia,1992,28,198.52258,78.595160375,127.95269,153.07893
Abia,1992,30,75.58064,97.407257125,133.24474,58.288403
Abia,1992,31,62.974194,99.30564375,101.247955,63.976944
Abia,1992,33,79.006454,98.66290175,103.59075,77.3606
Abia,1992,34,109.76129,101.01693425,123.17506,89.53481
Abia,1992,36,66.59355,99.01935350000001,105.83957,64.59205
Abia,1992,37,103.32258,89.76290225,110.082794,94.125786
Abia,1992,39,98.47097,97.91774099999999,118.14301,84.02504
Abia,1992,40,60.690323,99.27903225,87.55097,70.977455
Abia,1992,41,82.03871,82.050000125,93.42021,88.435814
Abia,1992,43,87.40645,82.857258875,106.78473,82.66464
Abia,1992,44,61.387096,85.91129087499999,40.66301,145.38486
Abia,1992,46,21.070969,83.708871125,30.770538,72.88392
Abia,1992,47,8.174193,72.622581,22.34387,48.179695
Abia,1992,49,8.148387,65.320161375,11.765376,78.425835
Abia,1992,50,1.2,53.423387250000005,3.7548387,70.81798
Abia,1992,52,1.4,41.264516,4.423871,67.91264
Abia,1992,53,5.225806,33.853225625,5.7890325,94.77965
Abia,1993,2,2.7806451,24.251612625,5.5174193,73.97865
Abia,1993,3,3.9419355,13.673387012500001,10.415699,58.005386
Abia,1993,5,7.980645,6.49274195,12.084731,75.97804
Abia,1993,6,11.309677,4.85645145,15.216129,80.67656
Abia,1993,7,14.987097,5.2483869499999996,17.004732,90.8309
Abia,1993,9,66.980644,6.103225699999999,30.776129,201.1974
Abia,1993,10,49.451614,14.325806199999999,36.829464,130.17526
Abia,1993,11,33.774193,20.33225795,44.33871,78.58777
Abia,1993,13,36.593548,23.900806324999998,53.735912,70.81451
Abia,1993,14,66.23871,28.1274191875,61.00839,107.92371
Abia,1993,16,75.13548,35.914516,56.888386,129.48387
Abia,1993,17,55.47742,44.308870375,82.929245,68.77964
Abia,1993,19,74.619354,49.82983825,82.15914,91.349396
Abia,1993,20,73.56129,57.283870375,94.044945,79.318825
